id,name,host_id,host_name,host_is_superhost,neighbourhood,neighbourhood_group_cleansed,beds,price,review_scores_rating
22031171,Home in Bozeman · ★4.86 · 3 bedrooms · 4 beds · 2.5 baths,158595657,Mountain Home,t,,,4,$258.00,4.86
22467914,Guest suite in Bozeman · ★4.93 · 2 bedrooms · 2 beds · 1 bath,11104779,Sarah,t,Bozeman, Montana, United States,,2,$152.00,4.93
22733838,Home in Bozeman · ★4.94 · 3 bedrooms · 4 beds · 2 baths,8224408,Paul,t,Bozeman, Montana, United States,,4,$293.00,4.94
22925801,Condo in Bozeman · ★5.0 · 2 bedrooms · 2 beds · 1 bath,169754903,VR Bozeman,t,Bozeman, Montana, United States,,2,$246.00,5.0
22925892,Home in Bozeman · ★4.98 · 1 bedroom · 2 beds · 1 private bath,47859142,Jason,t,Bozeman, Montana, United States,,2,$71.00,4.98
23191331,Rental unit in Bozeman · ★4.85 · 2 bedrooms · 2 beds · 1 bath,121782093,Samantha,f,Bozeman, Montana, United States,,2,$161.00,4.85
23269653,Home in Bozeman · ★4.92 · 2 bedrooms · 2 beds · 1.5 baths,106429221,Vacation Homes Bozeman,t,Bozeman, Montana, United States,,2,$126.00,4.92
23685855,Townhouse in Bozeman · ★4.0 · 2 bedrooms · 2 beds · 1 bath,122381278,Evolve,t,Bozeman, Montana, United States,,2,$96.00,4.0
23689274,Bungalow in Bozeman · ★5.0 · 3 bedrooms · 3 beds · 3 baths,24882747,Kerry,t,,,3,$321.00,5.0
23945254,Home in Bozeman · ★5.0 · 2 bedrooms · 3 beds · 1 bath,8224408,Paul,t,Bozeman, Montana, United States,,3,$251.00,5.0
23947268,Home in Bozeman · ★4.75 · 2 bedrooms · 4 beds · 2.5 baths,8224408,Paul,t,Bozeman, Montana, United States,,4,$334.00,4.75
24075266,Home in Bozeman · ★4.98 · 1 bedroom · 1 bed · 1 private bath,176207616,Elin,t,Bozeman, Montana, United States,,1,$95.00,4.98
25113972,Townhouse in Bozeman · ★4.98 · 3 bedrooms · 6 beds · 2 baths,171508189,Coleen,t,Bozeman, Montana, United States,,6,$235.00,4.98
25321668,Condo in Bozeman · ★4.96 · 4 bedrooms · 4 beds · 3.5 baths,122381278,Evolve,t,Bozeman, Montana, United States,,4,$328.00,4.96
25420087,Townhouse in Bozeman · ★5.0 · 3 bedrooms · 4 beds · 2.5 baths,8224408,Paul,t,Bozeman, Montana, United States,,4,$272.00,5.0
25549889,Townhouse in Bozeman · ★4.79 · 2 bedrooms · 2 beds · 1 bath,36548325,Doug,t,Bozeman, Montana, United States,,2,$157.00,4.79
25580821,Home in Bozeman · ★4.91 · 3 bedrooms · 4 beds · 2.5 baths,106429221,Vacation Homes Bozeman,t,Bozeman, Montana, United States,,4,$172.00,4.91
26925982,Guesthouse in Bozeman · ★4.94 · 1 bedroom · 1 bed · 1 bath,221430490,Jen,f,Bozeman, Montana, United States,,1,$145.00,4.94
27113338,Rental unit in Bozeman · ★4.81 · Studio · 1 bed · 1 bath,40166238,Sunny,t,Bozeman, Montana, United States,,1,$95.00,4.81
27284221,Guest suite in Bozeman · ★4.94 · 2 bedrooms · 2 beds · 1 bath,205016195,Erik,t,Bozeman, Montana, United States,,2,$200.00,4.94
27306044,Home in Bozeman · ★5.0 · Studio · 3 beds · 1 bath,4635454,Jeanne,f,Bozeman, Montana, United States,,3,$99.00,5.0
